facility_id,lga_name,facility_name,sport_lat,sport_lon,sport_played
BRIMBA8346,Brimbank City Council,Dempster Park,-37.775225,144.837725,Cricket
BANYUL12804,Banyule City Council,Central Park,-37.715628,145.105598,Cricket
GREATE11073,Geelong City Council,Highton Reserve,-38.172014,144.321539,Lawn Bowls
WHITTL9525,Whittlesea City Council,Epping Recreation Reserve,-37.639162,145.02391,Australian Rules Football
PYRENE11083,Pyrenees Shire Council,Landsborough & District Bowling Club,-37.008863,143.133602,Lawn Bowls
WODONG11109,Wodonga City Council,Wodonga Sports & Leisure Centre (YMCA),-36.127759,146.861798,Fitness / Gymnasium Workouts
MOORAB11075,Moorabool Shire Council,Bacchus Marsh Civic Community Hub,-37.652767,144.424393,Australian Rules Football
SURFCO11864,Surf Coast Shire Council,Bob Pettit Reserve,-38.348348,144.294279,Australian Rules Football
GOLDEN8282,Golden Plains Shire Council,Bannockburn Golf Club,-38.043618,144.131918,Golf
KNOXCI8586,Knox City Council,Knox Leisureworks YMCA,-37.85695,145.278334,Swimming
MELBOU11024,Melbourne City Council,Punt rd Recreation Reserve & Community Pool,-37.822304,144.987903,Australian Rules Football
WODONG11090,Wodonga City Council,Birallee Park,-36.127132,146.858085,Australian Rules Football
WARRNA11705,Warrnambool City Council ,Bushfield Recreation Reserve,-38.32603,142.506814,Netball
MONASH12001,Monash City Council ,Meade Reserve,-37.922689,145.1162,Australian Rules Football
MOONEE9355,Moonee Valley City Council,Clifton Park,-37.755988,144.891501,Tennis (Outdoor)
GLENEL11562,Glenelg Shire Council,Dartmoor Recreation Reserve,-37.924998,141.273237,Netball
WANGAR11512,Wangaratta Rural City Council,Glenrowan Recreation Reserve,-36.465536,146.215269,Australian Rules Football
WESTWI9510,West Wimmera Shire Council,Kaniva Sport Complex,-36.383359,141.245901,Table Tennis
DAREBI11848,Darebin City Council,Thornbury Bowls Club,-37.758906,144.998573,Lawn Bowls
WELLIN11012,Wellington Shire Council,Loch Sport Recreation Reserve,-38.057079,147.565283,Netball
COLACO11264,Colac Otway Shire Council,Alvie Recreation Reserve,-38.242638,143.50924,Cricket
MANNIN10995,Manningham City Council,Definition Fitness Centre,-37.776105,145.165123,Fitness / Gymnasium Workouts
MURRIN11012,Murrindindi Shire Council,Spring Valley Recreation Reserve ,-37.291851,145.299709,Tennis (Outdoor)
GREATE8699,Bendigo City Council,Marong Golf Course,-36.739011,144.1288,Golf
HUMECI11765,Hume City Council,Jacana Reserve ,-37.682641,144.9044,Cricket
BENALL11082,Benalla Rural City Council,Goorambat Recreation Reserve,-36.407432,145.917106,Australian Rules Football
CAMPAS8805,Campaspe Shire Council,Lockington Recreation Reserve,-36.265744,144.541312,Tennis (Outdoor)
SWANHI9462,Swan Hill Rural City Council,Manangatang Recreation Reserve,-35.055373,142.885338,Cricket
GEELON11182,Geelong City Council,Geelong Pistol Club,-38.238961,144.316561,Shooting Sports
MELTON9052,Melton Shire Council,Burnside Heights Recreation Reserve,-37.736311,144.754676,Cricket
CARDIN11023,Cardinia Shire Council,Lang Lang Showgrounds Reserve,-38.268214,145.560478,Cricket
BRIMBA5637,Brimbank City Council,Keilor Park Recreation Reserve,-37.715205,144.848751,Crickes
MORELA13002,Moreland City Council,CB Smith Reserve,-37.704697,144.969038,Soccer
BAYSID5413,Bayside City Council,Boss James Reserve,-37.9426,145.0218,Netball
BALLAR12515,Ballarat City Council,Mount Xavier Golf Course,-37.562836,143.903691,Golf
SOUTHE11413,Southern Grampians Shire Council ,Mitchell Park,-37.754774,142.031503,Cricket
GLENEL11572,Glenelg Shire Council,Heywood Community Complex,-38.138391,141.62712,Squash / Racquetball
MOIRAS12190,Moira Shire Council,Koonoomoo Recreation Reserve,-35.892441,145.576801,Rugby Union
FRANKS11028,Frankston City Council,Eric Bell Reserve,-38.124842,145.147295,Cricket
GLENEI11263,Glen Eira City Council,Ormond Health & Fitness,,,Fitness / Gymnasium Workouts
WHITTL9560,Whittlesea City Council,Thomastown Indoor Sports,-37.688605,145.003372,Beach Volleyball
MOORAB9421,Moorabool Shire Council,Dunnstown Recreation Reserve,-37.587388,143.959959,Tennis (Outdoor)
MELTON9094,Melton Shire Council,West Melton Tennis Courts,-37.682446,144.56389,Tennis (Outdoor)
SOUTHE11396,Southern Grampians Shire Council ,Dunkeld Recreation Reserve,-37.653317,142.337842,Cricket
CASEYC12294,Casey City Council,KM Reedy Recreation Reserve,-38.023132,145.248479,BMX
KNOXCI8553,Knox City Council,Carrington Park Leisure Centre,-37.895309,145.242961,Gymnastics
GLENEI11219,Glen Eira City Council,King George VI Memorial Park,-37.929295,145.059689,Tennis (Outdoor)
MOUNTA12673,Mount Alexander Shire Council,Harcourt Recreation Reserve,-37.004161,144.257137,Cricket
ALPINE10941,Alpine Shire Council ,Myrtleford Indoor Sports Complex,-36.552593,146.725872,Basketball